engine,arm,round,row_index,feature,gamma,prediction_gap,attribution
xgboost,direction_fixed_stale_reversal,2,48,urine_chemistry,0.19142192655547113,-0.07600745651870966,-0.049939653881789184
xgboost,direction_and_reversal_fixed,2,48,duration,0.0005436776664056933,-0.07600745651870966,-0.00037792455592748587
xgboost,direction_and_reversal_fixed,2,48,sex,0.0,-0.07600745651870966,-0.0
xgboost,direction_and_reversal_fixed,2,48,urinary_calcium_excretion,0.0911379686197976,-0.07600745651870966,-0.013729439264312526
xgboost,direction_and_reversal_fixed,2,48,parathyroid_suppression,0.0649078240787973,-0.07600745651870966,-0.01622982325746297
xgboost,direction_and_reversal_fixed,2,48,hypercalciuria_predisposition,0.04442000352667428,-0.07600745651870966,0.017037675255482162
xgboost,direction_and_reversal_fixed,2,48,history_of_nephrolithiasis,0.17400921175599865,-0.07600745651870966,-0.019373224726449267
xgboost,direction_and_reversal_fixed,2,48,vitamin_d_inflight,0.06695627485897059,-0.07600745651870966,-0.009081754229677016
xgboost,direction_and_reversal_fixed,2,48,nutrients_risk,0.06264198391522359,-0.07600745651870966,-0.007435305115824184
xgboost,direction_and_reversal_fixed,2,48,urinary_oxalate_excretion,0.08169187354270285,-0.07600745651870966,-0.010976449025161018
xgboost,direction_and_reversal_fixed,2,48,bone_formation,0.0,-0.07600745651870966,0.0
xgboost,direction_and_reversal_fixed,2,48,bone_resorption,0.016281447078015647,-0.07600745651870966,0.0018717316651994625
xgboost,direction_and_reversal_fixed,2,48,hydration_fluid_intake,0.2067729611730392,-0.07600745651870966,0.03190683207761801
xgboost,direction_and_reversal_fixed,2,48,urine_chemistry,0.19063677378437457,-0.07600745651870966,-0.04961977534219483
xgboost,legacy,2,168,duration,0.0006261892187620237,0.8371900916099548,0.0076413288930843705
xgboost,legacy,2,168,sex,0.0,0.8371900916099548,0.0
xgboost,legacy,2,168,urinary_calcium_excretion,0.09787644018628514,0.8371900916099548,0.07693854531699716
xgboost,legacy,2,168,parathyroid_suppression,0.0,0.8371900916099548,0.0
xgboost,legacy,2,168,hypercalciuria_predisposition,0.0,0.8371900916099548,0.0
xgboost,legacy,2,168,history_of_nephrolithiasis,0.20041781941724301,0.8371900916099548,0.04180132388518153
xgboost,legacy,2,168,vitamin_d_inflight,0.07711793225265186,0.8371900916099548,0.15082009590357884
xgboost,legacy,2,168,nutrients_risk,0.07214888047342888,0.8371900916099548,0.17332239074761735
xgboost,legacy,2,168,urinary_oxalate_excretion,0.09408988750834485,0.8371900916099548,0.14664367996323205
xgboost,legacy,2,168,bone_formation,0.0,0.8371900916099548,0.0
xgboost,legacy,2,168,bone_resorption,0.0,0.8371900916099548,0.0
xgboost,legacy,2,168,hydration_fluid_intake,0.23815397802535107,0.8371900916099548,0.2553957021080207
xgboost,legacy,2,168,urine_chemistry,0.21956887291793314,0.8371900916099548,-0.015372975207757161
xgboost,direction_fixed_stale_reversal,2,168,duration,0.0005459168462758089,0.8371900916099548,0.006385286407035134
xgboost,direction_fixed_stale_reversal,2,168,sex,0.0,0.8371900916099548,0.0
xgboost,direction_fixed_stale_reversal,2,168,urinary_calcium_excretion,0.09151332761897414,0.8371900916099548,0.06895102583138836
xgboost,direction_fixed_stale_reversal,2,168,parathyroid_suppression,0.06517515213376618,0.8371900916099548,0.028850651716210582
xgboost,direction_fixed_stale_reversal,2,168,hypercalciuria_predisposition,0.04460295085718532,0.8371900916099548,0.07895242692674949
xgboost,direction_fixed_stale_reversal,2,168,history_of_nephrolithiasis,0.17472588258552646,0.8371900916099548,0.03493023647257053
xgboost,direction_fixed_stale_reversal,2,168,vitamin_d_inflight,0.06723203962200254,0.8371900916099548,0.12602906140480716
xgboost,direction_fixed_stale_reversal,2,168,nutrients_risk,0.05878140009800595,0.8371900916099548,0.13534916458833085
xgboost,direction_fixed_stale_reversal,2,168,urinary_oxalate_excretion,0.08202832804523588,0.8371900916099548,0.12253914331501572
xgboost,direction_fixed_stale_reversal,2,168,bone_formation,0.0,0.8371900916099548,0.0
xgboost,direction_fixed_stale_reversal,2,168,bone_resorption,0.016348503517531483,0.8371900916099548,0.03463407391764102
xgboost,direction_fixed_stale_reversal,2,168,hydration_fluid_intake,0.2076245721200251,0.8371900916099548,0.21341506535092847
xgboost,direction_fixed_stale_reversal,2,168,urine_chemistry,0.19142192655547113,0.8371900916099548,-0.01284604432072259
xgboost,direction_and_reversal_fixed,2,168,duration,0.0005436776664056933,0.8371900916099548,0.00631376639627636
xgboost,direction_and_reversal_fixed,2,168,sex,0.0,0.8371900916099548,0.0
xgboost,direction_and_reversal_fixed,2,168,urinary_calcium_excretion,0.0911379686197976,0.8371900916099548,0.06817872247724965
xgboost,direction_and_reversal_fixed,2,168,parathyroid_suppression,0.0649078240787973,0.8371900916099548,0.02852750271558507
xgboost,direction_and_reversal_fixed,2,168,hypercalciuria_predisposition,0.04442000352667428,0.8371900916099548,0.07806810035730838
xgboost,direction_and_reversal_fixed,2,168,history_of_nephrolithiasis,0.17400921175599865,0.8371900916099548,0.03453899154962199
xgboost,direction_and_reversal_fixed,2,168,vitamin_d_inflight,0.06695627485897059,0.8371900916099548,0.12461744111825916
xgboost,direction_and_reversal_fixed,2,168,nutrients_risk,0.06264198391522359,0.8371900916099548,0.14321031089434935
xgboost,direction_and_reversal_fixed,2,168,urinary_oxalate_excretion,0.08169187354270285,0.8371900916099548,0.12116661273618297
xgboost,direction_and_reversal_fixed,2,168,bone_formation,0.0,0.8371900916099548,0.0
xgboost,direction_and_reversal_fixed,2,168,bone_resorption,0.016281447078015647,0.8371900916099548,0.0342461462380806
xgboost,direction_and_reversal_fixed,2,168,hydration_fluid_intake,0.2067729611730392,0.8371900916099548,0.21102465608860224
xgboost,direction_and_reversal_fixed,2,168,urine_chemistry,0.19063677378437457,0.8371900916099548,-0.012702158961561016
xgboost,legacy,2,935,duration,0.0006261892187620237,-0.09031954704551026,-5.3521469526286054e-05
xgboost,legacy,2,935,sex,0.0,-0.09031954704551026,-0.0
xgboost,legacy,2,935,urinary_calcium_excretion,0.09787644018628514,-0.09031954704551026,-0.006205639112085151
xgboost,legacy,2,935,parathyroid_suppression,0.0,-0.09031954704551026,0.0
xgboost,legacy,2,935,hypercalciuria_predisposition,0.0,-0.09031954704551026,-0.0
xgboost,legacy,2,935,history_of_nephrolithiasis,0.20041781941724301,-0.09031954704551026,-0.004893344108434993
